id,group,scenario,ctrl,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign,level,variant,weight,factor,forecast_shift,forecast_load_factor,event_mode,delay,trial
j00031,principal,nvml_llama2_stress,heuristico,{},52.733566283621286,52.733566283621286,1,2.652817526156753,2.6512862062809943,499,2,0,0,54.450720231188306,54.450720231188306,60,26.359078901855423,17186.16868139141,0,0,0.02635907890185542,,,,nan,0,nan,nan,nan,nan,nan,4.42e-05,7.9e-06,1e-05,1.34e-05,4.42e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00031.mat,campanha_v1,,,,,,,,,
j00032,principal,nvml_llama2_stress,heuristico_foresight,{},48.5074773029627,48.5074773029627,1,2.6029660777031727,2.601101012216502,488,0,0,0,54.384711414695246,54.384711414695246,60,26.6726207801974,16766.704286992535,0,0,0.026672620780197397,,,,nan,0,nan,nan,nan,nan,nan,4.61e-05,8.8e-06,1.09e-05,1.31e-05,4.61e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00032.mat,campanha_v1,,,,,,,,,
j00033,principal,nvml_llama2_stress,miope_qp,{},28.37485229782584,28.37485229782584,1,0.17162806736239622,0.17162570590658627,44,0,0,0,53.47630758475184,53.47630758475184,60.000000839715995,31.11526317951477,39527.034067790635,0,0,0.03111526317951477,,,,nan,0,nan,nan,nan,nan,nan,0.0011763,0.00057985,0.00069905,0.0007874500000000001,0.0011763,0.0010341,0.0005169,0.00061695,0.0007043500000000001,0.0010341,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00033.mat,campanha_v1,,,,,,,,,
j00034,principal,nvml_llama2_stress,mpc_qp_v5,{},0.006557596080881467,0,1,3.533636677420038e-05,0,0,0,0,0,51.91455751499581,51.91455751499581,60,38.40585180376962,237.20969702497717,0,0,0.038405851803769625,,,,7.105427357601002e-15,0,0,0,2.0236257114447653e-11,333283.200808402,4015243775612013.0,0.018219,0.030968000000000002,0.03644185,0.0448317,0.0599859,0.0131069,0.02643665,0.031569349999999996,0.03913295,0.0543083,0.0035902,0.0040838,0.00506425,0.0054870000000000006,0.006558,0,05_resultados\revisao_operacional\campanha_v1\j00034.mat,campanha_v1,,,,,,,,,
j00035,principal,nvml_llama2_stress,mpc_qp_estocastico_3cen,{},5.684341886080802e-14,0,1,2.5062243946827323e-15,0,0,0,0,0,41.41761142162375,41.41761142162375,60,88.26634574728652,564.1553819869944,0,0,0.08826634574728652,,,,7.105427357601002e-15,0,0,0,0.006029580635413367,666566.4016168036,8030487551224027.0,0.0412614,0.0569746,0.06370035,0.06922,0.0846381,0.02654,0.045307150000000004,0.0503256,0.05534365,0.0697269,0.0119247,0.011377149999999999,0.01341755,0.015390850000000001,0.0245275,0,05_resultados\revisao_operacional\campanha_v1\j00035.mat,campanha_v1,,,,,,,,,
j00036,fairness,carga_faixas,heuristico,"{""common_slew"": 1, ""dPBESS_ref_max"": 120, ""dPBESS_ref_max_evento"": 120}",102.78367916551602,102.78367916551602,1,0.07256225343903387,0.07207333282122684,10,2,1,0,59.51618405520798,57.81470825854433,60,19.335271543828387,600,0,0,0.019335271543828386,400,10,60,nan,0,nan,nan,nan,nan,nan,0.0046744,8.5e-06,1.11e-05,0.00014355,0.005642,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00036.mat,campanha_v1,120,,,,,,,,
j00037,fairness,carga_faixas,heuristico_foresight,"{""common_slew"": 1, ""dPBESS_ref_max"": 120, ""dPBESS_ref_max_evento"": 120}",4.67481628589934,4.67481628589934,1,0.003300282757656243,0.002853638055887286,4,0,0,0,59.52125715462317,57.67728135795952,60,20.738049321606166,600,0,0,0.020738049321606167,400,4,59.877154566927075,nan,0,nan,nan,nan,nan,nan,0.0041628,9.5e-06,1.1e-05,0.00010004999999999999,0.0041628,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00037.mat,campanha_v1,120,,,,,,,,
j00038,fairness,carga_faixas,miope_qp,"{""common_slew"": 1, ""dPBESS_ref_max"": 120, ""dPBESS_ref_max_evento"": 120}",102.78268126816418,102.78268126816418,1,0.03603544876850129,0.036030804299576176,2,1,1,0,59.24942167409445,57.779168614335155,60,18.28712308064124,1237.1857078008113,0,0,0.01828712308064124,400,2,59.97216934448677,nan,0,nan,nan,nan,nan,nan,0.7429056,0.000575,0.00097845,0.0014168,0.7429056,0.1444302,0.00050055,0.00085635,0.0011472499999999998,0.1444302,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00038.mat,campanha_v1,120,,,,,,,,
j00039,fairness,carga_faixas,mpc_qp_v5,"{""common_slew"": 1, ""dPBESS_ref_max"": 120, ""dPBESS_ref_max_evento"": 120}",0.018087602382593104,0,1,5.024333999643974e-06,0,0,0,0,0,58.80087186350924,57.38655237260539,60,19.857663024355066,358.03972686688587,0,0,0.019857663024355068,400,0,59.62722919881179,0.014627090501889484,489,0,0,4.547473508864641e-13,333283.200808402,4015243775612013.0,0.2481036,0.0216384,0.0329897,0.03613975,0.2481036,0.0967286,0.0174213,0.0276504,0.0291781,0.0967286,0.0858075,0.00397915,0.0052187,0.0071788500000000005,0.0858075,0,05_resultados\revisao_operacional\campanha_v1\j00039.mat,campanha_v1,120,,,,,,,,
j00040,fairness,carga_faixas,mpc_qp_estocastico_3cen,"{""common_slew"": 1, ""dPBESS_ref_max"": 120, ""dPBESS_ref_max_evento"": 120}",5.684341886080802e-14,0,1,3.7503365093233884e-15,0,0,0,0,0,53.36237841848454,52.463168980995256,60,40.53262859021656,759.2038982176564,0,0,0.040532628590216564,400,0,57.99374961080938,0.01464026161082188,860,0,0,1.1880274541908875e-10,666566.4016168036,8030487551224027.0,0.0584746,0.0505901,0.05821375,0.06386145,0.0754229,0.0268352,0.03865095,0.045925850000000004,0.0519938,0.0632869,0.0166439,0.0114036,0.013573700000000001,0.0147855,0.0166439,0,05_resultados\revisao_operacional\campanha_v1\j00040.mat,campanha_v1,120,,,,,,,,
