id,group,scenario,ctrl,trial,forecast_shift,forecast_load_factor,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00871,montecarlo,perda_fonte,mpc_qp_estocastico_3cen,25,2,1.1184643625841586,{},350.0007843619244,350.0007843619244,1,14.583333887078657,14.583333887078657,150,150,150,150,43.08309780597801,43.08309780597801,60,80.35528542160394,2825.1355797930064,0,0.4166666666666667,0.08035528542160394,500,150,53.44480506061311,7.105427357601002e-15,0,0,0,0.0003272712691568813,666566.4042708572,9686285222630616.0,0.0606094,0.0661699,0.088163,0.11686345000000001,0.1567246,0.0440055,0.05349135,0.07224275,0.1042215,0.1436508,0.0130246,0.012299850000000001,0.015395800000000001,0.018137800000000003,0.0375624,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00871.mat,evento_adiantado_corrigido_v1
j00872,montecarlo,perda_fonte,heuristico,26,-3,0.8798227754838016,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,4e-05,7.8e-06,1e-05,1.4599999999999999e-05,5.09e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00872.mat,campanha_v1
j00873,montecarlo,perda_fonte,heuristico_foresight,26,-3,0.8798227754838016,{},352.7815800174326,352.7815800174326,1,14.585297046987337,14.585297046987337,150,150,150,150,57.47146760450376,56.04015452041188,60,26.342492786421605,850,0,0,0.026342492786421604,500,150,59.603676116794965,nan,0,nan,nan,nan,nan,nan,4.2e-05,8.7e-06,1.11e-05,1.325e-05,4.66e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00873.mat,campanha_v1
j00874,montecarlo,perda_fonte,miope_qp,26,-3,0.8798227754838016,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0012751,0.0005713999999999999,0.00066665,0.0008194000000000001,0.0012751,0.0011315,0.0005077,0.0005863,0.0007421999999999999,0.0011315,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00874.mat,campanha_v1
j00875,montecarlo,perda_fonte,mpc_qp_v5,26,-3,0.8798227754838016,{},350.0284967816099,350.0284967816099,1,14.587220549206453,14.583353451229677,150,150,150,150,57.013901541252636,55.618762431970836,60.038862359420165,28.54285080644728,1925.9481093865697,0,0.9166666666666666,0.02854285080644728,500,150,59.259735116672786,0.11702025161399376,852,0,0,0.0031662371808351963,333283.200808402,4015243775612013.0,0.0192156,0.02101625,0.0300985,0.037330050000000004,0.0977666,0.0133426,0.01658405,0.02523425,0.03257965,0.0929064,0.0042707,0.0042173,0.0047955,0.0050655000000000006,0.0055174,0,05_resultados\revisao_operacional\campanha_v1\j00875.mat,campanha_v1
j00876,montecarlo,perda_fonte,mpc_qp_estocastico_3cen,26,-3,0.8798227754838016,{},350.0000526571865,350.0000526571865,1,14.583333370518137,14.583333370518135,150,150,150,150,55.61936671711278,55.35407269788212,60.01924147990079,23.657106973174923,1461.5662473908703,0,0.08333333333333334,0.023657106973174923,500,150,59.00565485353415,0.11708689867379718,1022,0,0,0.0005048325767802453,666566.4016168036,8030487551224027.0,0.0407893,0.05308615,0.07582169999999999,0.10842155,0.1934301,0.0278607,0.0410159,0.0609698,0.09538174999999999,0.1807535,0.0106104,0.0117188,0.0140258,0.01625685,0.0246874,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00876.mat,evento_adiantado_corrigido_v1
j00877,montecarlo,perda_fonte,heuristico,27,-2,0.8203064586314303,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,6.56e-05,7.8e-06,9.9e-06,1.03e-05,6.56e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00877.mat,campanha_v1
j00878,montecarlo,perda_fonte,heuristico_foresight,27,-2,0.8203064586314303,{},354.5860501408955,354.5860501408955,1,14.586570949804251,14.586570949804251,150,150,150,150,57.494859417369256,56.06354633327738,60,26.231381675310494,850,0,0,0.026231381675310493,500,150,59.62679973959374,nan,0,nan,nan,nan,nan,nan,4.43e-05,8.7e-06,9.849999999999999e-06,1.4950000000000001e-05,4.43e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00878.mat,campanha_v1
j00879,montecarlo,perda_fonte,miope_qp,27,-2,0.8203064586314303,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.001246,0.0005657,0.0006489,0.0008322500000000001,0.001246,0.0010972,0.00050325,0.0005763000000000001,0.00075275,0.0010972,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00879.mat,campanha_v1
j00880,montecarlo,perda_fonte,mpc_qp_v5,27,-2,0.8203064586314303,{},350.0164966258317,350.0164966258317,1,14.588093392241017,14.583344979479682,150,150,150,150,57.02087244191472,55.625504951811386,60.05896605619818,28.713327331635366,1811.1879140366682,0,0.6666666666666667,0.028713327331635365,500,150,59.26646448146468,0.1169526483826715,852,0,0,0.007730561933271929,333283.200808402,4015243775612013.0,0.020107,0.02113315,0.033866549999999995,0.041091600000000006,0.1191989,0.0139232,0.0167033,0.0286636,0.036289749999999996,0.1140974,0.00463,0.0043507500000000005,0.005184299999999999,0.00591735,0.0062743,0,05_resultados\revisao_operacional\campanha_v1\j00880.mat,campanha_v1
