id,ctrl,step_0based,time_s,exitflag,cause,command,P_raw,eq_residual,source
j00082,mpc_qp_v5,471,471,-6,nao_convexo,26.666666666666668,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,472,472,-6,nao_convexo,40.0,0.0,6.821210263296962e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,473,473,-6,nao_convexo,53.333333333333336,2.842170943040401e-14,5.684341886080801e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,474,474,-6,nao_convexo,66.66666666666666,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,475,475,-6,nao_convexo,80.0,0.0,1.1368683772161603e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,476,476,-6,nao_convexo,93.33333333333333,2.842170943040401e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,478,478,-6,nao_convexo,120.0,2.842170943040401e-14,1.1368683772161603e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,479,479,-6,nao_convexo,133.33333333333331,5.684341886080802e-14,1.9326762412674725e-12,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,481,481,-6,nao_convexo,160.0,2.842170943040401e-14,1.1368683772161603e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,482,482,-6,nao_convexo,173.33333333333334,0.0,1.1368683772161603e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,484,484,-6,nao_convexo,200.0,2.842170943040401e-14,1.1368683772161603e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,485,485,-6,nao_convexo,213.33333333333334,5.684341886080802e-14,7.23048287909478e-11,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00083,mpc_qp_estocastico_3cen,465,465,-6,nao_convexo,144.87359699697856,0.0,1.1368683772161603e-13,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00083.mat
j00083,mpc_qp_estocastico_3cen,466,466,-6,nao_convexo,-50.0,0.0,1.5452610568900127e-07,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00083.mat
j00083,mpc_qp_estocastico_3cen,467,467,-6,nao_convexo,-50.0,2.842170943040401e-14,2.545596089476021e-08,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00083.mat
j00083,mpc_qp_estocastico_3cen,468,468,-6,nao_convexo,-50.0,0.0,2.266091314595542e-07,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00083.mat
j00087,mpc_qp_v5,452,452,-6,nao_convexo,0.0,2.842170943040401e-14,1.1368683772161603e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,455,455,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,457,457,-6,nao_convexo,0.0,4.263256414560601e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,458,458,-6,nao_convexo,0.0,1.5987211554602254e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,459,459,-6,nao_convexo,0.0,5.417888360170764e-14,1.1368683772161603e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,460,460,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,461,461,-6,nao_convexo,0.0,1.7763568394002505e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,462,462,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,463,463,-6,nao_convexo,0.0,7.771561172376096e-15,1.1368683772161603e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,464,464,-6,nao_convexo,0.0,2.2426505097428162e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,465,465,-6,nao_convexo,0.0,2.1815882433884326e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,466,466,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,467,467,-6,nao_convexo,0.0,1.9068080447937064e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,468,468,-6,nao_convexo,0.0,3.902433931557425e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,469,469,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,470,470,-6,nao_convexo,13.333333333333334,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,471,471,-6,nao_convexo,26.666666666666668,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,472,472,-6,nao_convexo,40.0,3.552713678800501e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,473,473,-6,nao_convexo,53.333333333333336,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,474,474,-6,nao_convexo,66.66666666666666,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,475,475,-6,nao_convexo,80.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,476,476,-6,nao_convexo,93.33333333333333,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,477,477,-6,nao_convexo,106.66666666666667,0.0,3.410605131648481e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,478,478,-6,nao_convexo,120.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,480,480,-6,nao_convexo,146.66666666666666,0.0,1.4779288903810084e-12,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,481,481,-6,nao_convexo,160.0,0.0,2.0463630789890885e-12,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,482,482,-6,nao_convexo,173.33333333333334,0.0,2.8421709430404007e-12,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00087,mpc_qp_v5,483,483,-6,nao_convexo,186.66666666666666,5.684341886080802e-14,4.547473508864641e-13,05_resultados\revisao_operacional\campanha_v1\j00087.mat
j00088,mpc_qp_estocastico_3cen,460,460,-6,nao_convexo,-50.0,2.842170943040401e-14,1.1368683772161603e-13,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00088.mat
j00088,mpc_qp_estocastico_3cen,461,461,-6,nao_convexo,-50.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00088.mat
j00088,mpc_qp_estocastico_3cen,465,465,-6,nao_convexo,-50.0,0.0,0.00028861901967047743,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00088.mat
j00092,mpc_qp_v5,457,457,-6,nao_convexo,0.0,2.842170943040401e-14,1.1368683772161603e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,459,459,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,461,461,-6,nao_convexo,0.0,4.263256414560601e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,462,462,-6,nao_convexo,0.0,7.105427357601002e-15,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,463,463,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,464,464,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,465,465,-6,nao_convexo,0.0,3.8191672047105385e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,466,466,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,467,467,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,468,468,-6,nao_convexo,0.0,1.3211653993039363e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,469,469,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,470,470,-6,nao_convexo,0.0,2.275957200481571e-15,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,471,471,-6,nao_convexo,0.0,4.4020342926387457e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,472,472,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,473,473,-6,nao_convexo,0.0,3.12944115066216e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,474,474,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,475,475,-6,nao_convexo,0.0,4.9883708275189065e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,476,476,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,477,477,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,478,478,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,479,479,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,480,480,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,481,481,-6,nao_convexo,0.0,2.6507658915098098e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,482,482,-6,nao_convexo,0.0,0.0,3.410605131648481e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,483,483,-6,nao_convexo,0.0,2.712988254188753e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,484,484,-6,nao_convexo,0.0,4.5686219564411434e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,485,485,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,486,486,-6,nao_convexo,0.0,1.0150436264080853e-15,3.410605131648481e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,487,487,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,488,488,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00092,mpc_qp_v5,489,489,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00092.mat
j00096,mpc_qp_v5,356,356,-6,nao_convexo,127.10915780051772,0.0,1.7053025658242404e-13,05_resultados\revisao_operacional\campanha_v1\j00096.mat
j00096,mpc_qp_v5,357,357,-6,nao_convexo,7.109157800517721,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00096.mat
j00096,mpc_qp_v5,359,359,-6,nao_convexo,0.0,5.684341886080802e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00096.mat
j00096,mpc_qp_v5,363,363,-6,nao_convexo,0.0,7.105427357601002e-15,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00096.mat
j00096,mpc_qp_v5,364,364,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00096.mat
j00096,mpc_qp_v5,365,365,-6,nao_convexo,0.0,2.3092638912203256e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00096.mat
j00096,mpc_qp_v5,366,366,-6,nao_convexo,0.0,0.0,3.410605131648481e-13,05_resultados\revisao_operacional\campanha_v1\j00096.mat
j00096,mpc_qp_v5,367,367,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00096.mat
j00096,mpc_qp_v5,369,369,-6,nao_convexo,0.0,1.0658141036401503e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00096.mat
