id,group,scenario,ctrl,level,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00106,fairness,retorno_fonte,mpc_qp_v5,400,"{""common_slew"": 1, ""dPBESS_ref_max"": 400, ""dPBESS_ref_max_evento"": 400}",350.06568922227257,350.06568922227257,1,24.305601930256845,24.30560193025684,250,250,250,250,54.777433030049174,53.38365097687829,60,38.763352876515235,1666.7569447765443,0,1.6666666666666667,0.038763352876515236,400,250,59.363829189397116,0.014570944041487621,733,0,0,0.005380719180493543,333283.200808402,4015243775612013.0,0.0200071,0.02502445,0.0302121,0.03768115,0.0438691,0.0138077,0.0209966,0.0257501,0.033195249999999996,0.0395076,0.0045546,0.0037528,0.0046298,0.0050758999999999995,0.0071355,0,05_resultados\revisao_operacional\campanha_v1\j00106.mat,campanha_v1
j00107,fairness,retorno_fonte,mpc_qp_estocastico_3cen,400,"{""common_slew"": 1, ""dPBESS_ref_max"": 400, ""dPBESS_ref_max_evento"": 400}",350.0000079442111,350.0000079442111,1,24.305555561188246,24.305555561188246,250,250,250,250,47.64515203250404,47.64515203250404,60,58.68552784560402,832.2636640636315,0,0,0.05868552784560402,400,250,56.78049810197601,7.105427357601002e-15,0,0,0,2.2737367544323206e-13,666566.4042708572,8858386386927326.0,0.0438267,0.05310045,0.06847914999999999,0.1124313,0.1384106,0.02935,0.04084715,0.05483305,0.09968515,0.1267134,0.0120357,0.011803649999999999,0.013163850000000001,0.0144069,0.0187764,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00107.mat,evento_adiantado_corrigido_v1
j00112,fairness,multi_burst,heuristico,120,"{""common_slew"": 1, ""dPBESS_ref_max"": 120, ""dPBESS_ref_max_evento"": 120}",102.78367916551602,102.78367916551602,1,0.23928885546406836,0.23782209376021687,32,7,3,0,59.52085787649795,58.81688207983427,60,13.134431976545656,1500,0,0,0.013134431976545655,,,,nan,0,nan,nan,nan,nan,nan,4.32e-05,8e-06,1.04e-05,1.16e-05,7.74e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00112.mat,campanha_v1
j00113,fairness,multi_burst,heuristico_foresight,120,"{""common_slew"": 1, ""dPBESS_ref_max"": 120, ""dPBESS_ref_max_evento"": 120}",60.65306596721214,60.65306596721214,1,0.05272012833377145,0.05090451500122736,21,1,0,0,59.52024384141023,58.67376804474655,60,17.25943197654565,1500,0,0,0.01725943197654565,,,,nan,0,nan,nan,nan,nan,nan,4.29e-05,9e-06,1.155e-05,2.455e-05,0.0001026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00113.mat,campanha_v1
j00114,fairness,multi_burst,miope_qp,120,"{""common_slew"": 1, ""dPBESS_ref_max"": 120, ""dPBESS_ref_max_evento"": 120}",108.89876702879235,108.89876702879235,1,0.11181569961457871,0.11181257841240368,6,3,3,0,59.74187425623582,59.04874506715448,60,14.722425201496351,3747.1860588605105,0,0,0.014722425201496352,,,,nan,0,nan,nan,nan,nan,nan,0.001234,0.0005807,0.000731,0.00086085,0.001234,0.0010906,0.0005164,0.0006525999999999999,0.000784,0.0010906,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00114.mat,campanha_v1
j00115,fairness,multi_burst,mpc_qp_v5,120,"{""common_slew"": 1, ""dPBESS_ref_max"": 120, ""dPBESS_ref_max_evento"": 120}",0.018160989537534533,0,1,1.5813125782039263e-05,0,0,0,0,0,58.93805930445142,57.86915869256054,60,21.954516210955994,1159.774677260911,0,0,0.021954516210955993,,,,0.04372171863968077,1983,0,0,2.2737367544323206e-13,333283.200808402,4015243775612013.0,0.0195405,0.0224724,0.030595749999999998,0.03681505,0.0415814,0.0142974,0.017984,0.025811800000000003,0.0321238,0.0357999,0.0036822,0.0039737,0.0049853,0.0057967,0.0096623,0,05_resultados\revisao_operacional\campanha_v1\j00115.mat,campanha_v1
j00116,fairness,multi_burst,mpc_qp_estocastico_3cen,120,"{""common_slew"": 1, ""dPBESS_ref_max"": 120, ""dPBESS_ref_max_evento"": 120}",5.684341886080802e-14,0,1,3.652266808814833e-15,0,0,0,0,0,53.01775832642358,52.04149407401386,60,43.69988957099308,2450.7082179102895,0,0,0.04369988957099308,,,,0.09935640296556869,1908,0,0,1.3324097380973399e-10,666566.4016168036,8030487551224027.0,0.0408088,0.04855115,0.060091649999999996,0.06884515,0.0834877,0.0276454,0.0363266,0.0477382,0.055176249999999996,0.0631709,0.0105554,0.01152365,0.0135856,0.01568205,0.0272596,0,05_resultados\revisao_operacional\campanha_v1\j00116.mat,campanha_v1
j00117,fairness,multi_burst,heuristico,200,"{""common_slew"": 1, ""dPBESS_ref_max"": 200, ""dPBESS_ref_max_evento"": 200}",90.97959895689502,90.97959895689502,1,0.20550940327572956,0.20421109022967812,32,6,0,0,59.51273736878268,58.82187192886138,60,13.058424466180016,1500,0,0,0.013058424466180015,,,,nan,0,nan,nan,nan,nan,nan,3.71e-05,8e-06,1.06e-05,1.41e-05,6.06e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00117.mat,campanha_v1
j00118,fairness,multi_burst,heuristico_foresight,200,"{""common_slew"": 1, ""dPBESS_ref_max"": 200, ""dPBESS_ref_max_evento"": 200}",60.653065968189864,60.653065968189864,1,0.05272012833446168,0.05090451500190994,21,1,0,0,59.51738649158971,58.67610438500174,60,17.15842446618001,1500,0,0,0.01715842446618001,,,,nan,0,nan,nan,nan,nan,nan,4.32e-05,9e-06,1.13e-05,1.415e-05,5.85e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00118.mat,campanha_v1
j00119,fairness,multi_burst,miope_qp,200,"{""common_slew"": 1, ""dPBESS_ref_max"": 200, ""dPBESS_ref_max_evento"": 200}",81.41860403563999,81.41860403563999,1,0.06257219373027294,0.06256801047097418,3,3,0,0,59.73320271713476,59.064510481008774,60,14.864166770233123,4954.745812853631,0,0,0.014864166770233122,,,,nan,0,nan,nan,nan,nan,nan,0.001386,0.0005814500000000001,0.0007477,0.0009992,0.0067857,0.0012337,0.0005165,0.00065945,0.00087985,0.0066875,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00119.mat,campanha_v1
